ML Engineer,Lee-Ellis,North Stephaniemouth,tensorflow;deep learning;python;pytorch;computer vision;nlp,28-03-2025,Artificial Intelligence & Machine Learning,$130k-$160k,Senior
Senior Data Scientist,Brock-Nelson,Brucemouth,pandas;sql;machine learning;tensorflow;python;scikit-learn;numpy,01-04-2025,Data Science & Analytics,$120k-$150k,Senior
Senior Data Scientist,"Smith, Chung and Strickland",North Tylerton,scikit-learn;tensorflow;machine learning;sql;python,04-06-2025,Data Science & Analytics,$120k-$150k,Senior
Full Stack Developer,Dean Inc,Newmanport,react;git;rest api;javascript;css,03-07-2025,Web Development,$85k-$110k,Mid
Software Engineer,Vasquez Inc,East Sabrina,microservices;rest api;kubernetes;aws;docker;java;git;spring,24-04-2025,Software Engineering,$90k-$120k,Mid
DevOps Engineer,Crawford-Robinson,South Jasmine,bash;ci/cd;aws;docker;linux;python;jenkins,30-07-2025,Cloud & DevOps,$110k-$140k,Senior
Full Stack Developer,"Reeves, Leon and Adams",East Andrewview,html;express;javascript;rest api;mongodb;react;css;node.js;git,17-07-2025,Web Development,$85k-$110k,Mid
Full Stack Developer,Powell Group,Amandashire,css;git;react;express;rest api;html,03-06-2025,Web Development,$85k-$110k,Mid
Cybersecurity Specialist,"Reese, Guerrero and Scott",Burnsmouth,cryptography;linux;penetration testing;network security;wireshark;python,06-05-2025,Cyber Security,$105k-$135k,Senior
Business Analyst,Casey-Cannon,Reesehaven,business analysis;power bi;requirements gathering;sql;jira;agile;excel;tableau,08-07-2025,Business Analysis,$70k-$95k,Mid
Software Engineer,"May, Berry and Alvarado",Smithmouth,docker;kubernetes;rest api;spring;aws;java,25-05-2025,Software Engineering,$90k-$120k,Mid
Business Analyst,"Williams, Little and Boyer",Lewisstad,excel;agile;jira;sql;requirements gathering;tableau,19-03-2025,Business Analysis,$70k-$95k,Mid
Cybersecurity Specialist,"Dixon, Garcia and Lynch",New Jamesfurt,network security;penetration testing;wireshark;linux;python,03-04-2025,Cyber Security,$105k-$135k,Senior
Software Engineer,"Brock, Foster and Burns",West Ryanbury,java;spring;docker;rest api;aws;git;microservices;kubernetes,18-04-2025,Software Engineering,$90k-$120k,Mid
DevOps Engineer,"Schaefer, Williams and Chan",Nelsonstad,bash;kubernetes;docker;ci/cd;python;aws;linux;terraform;jenkins,21-07-2025,Cloud & DevOps,$110k-$140k,Senior
Senior Data Scientist,"Swanson, Ferrell and Sanchez",Banksview,machine learning;python;numpy;tensorflow;sql;scikit-learn;statistics;pandas,23-04-2025,Data Science & Analytics,$120k-$150k,Senior
Senior Data Scientist,Matthews LLC,Garciabury,python;numpy;statistics;pandas;machine learning;sql,13-06-2025,Data Science & Analytics,$120k-$150k,Senior
DevOps Engineer,Wade-Mason,East Gary,terraform;jenkins;ci/cd;docker;kubernetes;python;linux,17-07-2025,Cloud & DevOps,$110k-$140k,Senior
Senior Data Scientist,"Valdez, Rios and Zavala",Dianemouth,sql;python;numpy;statistics;machine learning;tensorflow;scikit-learn;pandas,03-06-2025,Data Science & Analytics,$120k-$150k,Senior
ML Engineer,Simpson Inc,Porterton,tensorflow;deep learning;nlp;pytorch;computer vision;python,15-02-2025,Artificial Intelligence & Machine Learning,$130k-$160k,Senior
Cybersecurity Specialist,"Jackson, Dean and Rhodes",North Anthonyside,firewall;wireshark;network security;penetration testing;linux;python;cryptography,16-03-2025,Cyber Security,$105k-$135k,Senior
Software Engineer,Perez-Ford,Moodyport,kubernetes;rest api;spring;microservices;aws;git;docker,28-03-2025,Software Engineering,$90k-$120k,Mid
Business Analyst,"Richard, Ayers and Bennett",East Tylerton,sql;business analysis;requirements gathering;agile;tableau;power bi;jira,11-05-2025,Business Analysis,$70k-$95k,Mid
Cybersecurity Specialist,"West, Clark and Gomez",Lake Jeffery,wireshark;firewall;penetration testing;linux;cryptography,17-04-2025,Cyber Security,$105k-$135k,Senior
Full Stack Developer,Ramirez-Allen,West Katherinestad,react;express;mongodb;git;css,26-07-2025,Web Development,$85k-$110k,Mid
Cybersecurity Specialist,"Clark, Valdez and Hart",North Danielle,python;cryptography;penetration testing;linux;network security;firewall,18-05-2025,Cyber Security,$105k-$135k,Senior
ML Engineer,"Hansen, Reynolds and Williams",Riverabury,pytorch;tensorflow;computer vision;python;nlp,14-03-2025,Artificial Intelligence & Machine Learning,$130k-$160k,Senior
Cybersecurity Specialist,"Hanson, Hayes and Scott",Martinezmouth,python;wireshark;penetration testing;cryptography;network security;firewall,21-04-2025,Cyber Security,$105k-$135k,Senior
Senior Data Scientist,Vargas-Benson,Haydenstad,scikit-learn;tensorflow;pandas;sql;machine learning;python,06-02-2025,Data Science & Analytics,$120k-$150k,Senior
Senior Data Scientist,"Smith, Waller and Brown",Lewisfort,python;tensorflow;pandas;sql;numpy;scikit-learn;machine learning;statistics,07-06-2025,Data Science & Analytics,$120k-$150k,Senior
Software Engineer,"Mitchell, Li and Watts",North Phillipfort,docker;rest api;microservices;aws;java,25-05-2025,Software Engineering,$90k-$120k,Mid
ML Engineer,Mckenzie-Solomon,Kingstad,nlp;deep learning;keras;pytorch;python;computer vision;tensorflow,20-06-2025,Artificial Intelligence & Machine Learning,$130k-$160k,Senior
Full Stack Developer,"Day, Smith and Herrera",Laurieland,javascript;react;css;html;node.js;rest api;git,02-03-2025,Web Development,$85k-$110k,Mid
Full Stack Developer,Crane-Morales,New Joseph,rest api;html;node.js;javascript;git,04-08-2025,Web Development,$85k-$110k,Mid
Full Stack Developer,Rivera LLC,Shawnville,html;mongodb;express;javascript;node.js;css;rest api;git;react,28-03-2025,Web Development,$85k-$110k,Mid
ML Engineer,Singh-Miller,Robinsonhaven,deep learning;pytorch;keras;computer vision;nlp;python;tensorflow,19-04-2025,Artificial Intelligence & Machine Learning,$130k-$160k,Senior
DevOps Engineer,"Klein, Reid and Smith",Parkerbury,kubernetes;jenkins;terraform;bash;aws;ci/cd;docker;linux,16-04-2025,Cloud & DevOps,$110k-$140k,Senior
Cybersecurity Specialist,Espinoza Ltd,Port Vanessamouth,python;wireshark;firewall;linux;penetration testing;cryptography;network security,27-03-2025,Cyber Security,$105k-$135k,Senior
Business Analyst,Johnson Inc,Port Seth,excel;tableau;jira;requirements gathering;power bi;sql,05-06-2025,Business Analysis,$70k-$95k,Mid
DevOps Engineer,"Sanders, Mitchell and Ortiz",Lake Katelynland,terraform;ci/cd;docker;aws;linux;python;bash,01-03-2025,Cloud & DevOps,$110k-$140k,Senior
Cybersecurity Specialist,Wallace-Carroll,Singhland,linux;cryptography;python;penetration testing;firewall,07-02-2025,Cyber Security,$105k-$135k,Senior
Business Analyst,Watson Group,New Chelseafurt,power bi;excel;business analysis;sql;jira;requirements gathering;agile;tableau,07-02-2025,Business Analysis,$70k-$95k,Mid
Full Stack Developer,Shaw Group,South Johnview,javascript;html;rest api;express;git;react;css;node.js,13-04-2025,Web Development,$85k-$110k,Mid
Full Stack Developer,"Johnson, Cantrell and Blanchard",Amandaville,rest api;git;react;mongodb;html;css;express;javascript;node.js,24-03-2025,Web Development,$85k-$110k,Mid
Business Analyst,Campbell-Hutchinson,Port Melinda,jira;agile;sql;tableau;excel;power bi,11-05-2025,Business Analysis,$70k-$95k,Mid
ML Engineer,"Brown, Hall and Smith",East David,python;tensorflow;computer vision;nlp;deep learning;keras;pytorch,19-07-2025,Artificial Intelligence & Machine Learning,$130k-$160k,Senior
Business Analyst,Bennett-Roberts,South Glenn,requirements gathering;jira;agile;business analysis;sql;power bi;excel;tableau,08-03-2025,Business Analysis,$70k-$95k,Mid
DevOps Engineer,Estrada-James,Petersside,python;bash;aws;kubernetes;linux,27-04-2025,Cloud & DevOps,$110k-$140k,Senior
Cybersecurity Specialist,Hernandez-Riggs,West Craig,python;wireshark;cryptography;penetration testing;linux;network security,27-05-2025,Cyber Security,$105k-$135k,Senior
Business Analyst,Delgado-Obrien,Brianville,sql;agile;tableau;power bi;excel;jira;business analysis;requirements gathering,26-04-2025,Business Analysis,$70k-$95k,Mid
Full Stack Developer,"Collins, Lewis and Davis",New Ann,javascript;react;mongodb;html;git;rest api;express;node.js;css,29-04-2025,Web Development,$85k-$110k,Mid
ML Engineer,Hansen and Sons,Jesusville,deep learning;pytorch;computer vision;keras;tensorflow,19-04-2025,Artificial Intelligence & Machine Learning,$130k-$160k,Senior
ML Engineer,Martin LLC,South Joseland,deep learning;python;nlp;computer vision;tensorflow,08-06-2025,Artificial Intelligence & Machine Learning,$130k-$160k,Senior
DevOps Engineer,Nielsen-Espinoza,New Michaelchester,aws;ci/cd;docker;python;bash,26-02-2025,Cloud & DevOps,$110k-$140k,Senior
Software Engineer,Perez-Mccarty,Port Brett,microservices;docker;aws;java;spring;git,06-02-2025,Software Engineering,$90k-$120k,Mid
ML Engineer,"Summers, Barrett and Short",Lake Christopherview,tensorflow;nlp;computer vision;python;deep learning;keras,08-07-2025,Artificial Intelligence & Machine Learning,$130k-$160k,Senior
Full Stack Developer,Anderson-Carter,Lake Vincentburgh,css;rest api;html;mongodb;react,16-07-2025,Web Development,$85k-$110k,Mid
Full Stack Developer,Vargas Ltd,Johnathanborough,react;css;rest api;mongodb;git;javascript,13-03-2025,Web Development,$85k-$110k,Mid
Cybersecurity Specialist,"Cochran, Harris and Soto",Lake Jeffreytown,firewall;python;linux;cryptography;network security,28-03-2025,Cyber Security,$105k-$135k,Senior
DevOps Engineer,Chan Group,West Sylvia,aws;python;bash;terraform;ci/cd;linux;docker,23-02-2025,Cloud & DevOps,$110k-$140k,Senior
Cybersecurity Specialist,Rhodes Ltd,West Karen,wireshark;penetration testing;linux;cryptography;firewall;python,28-02-2025,Cyber Security,$105k-$135k,Senior
Cybersecurity Specialist,Clark Inc,New Craig,cryptography;linux;wireshark;python;firewall;penetration testing;network security,03-06-2025,Cyber Security,$105k-$135k,Senior
Cybersecurity Specialist,Fernandez Group,Jaimehaven,firewall;linux;penetration testing;wireshark;cryptography,01-03-2025,Cyber Security,$105k-$135k,Senior
DevOps Engineer,Rasmussen-Wyatt,South Richardbury,linux;aws;terraform;kubernetes;docker;python;bash;jenkins,30-05-2025,Cloud & DevOps,$110k-$140k,Senior
ML Engineer,Hale-Richardson,Allisonside,nlp;computer vision;pytorch;python;keras;deep learning,14-07-2025,Artificial Intelligence & Machine Learning,$130k-$160k,Senior
Software Engineer,"King, Simmons and Jackson",Jacobhaven,rest api;kubernetes;spring;docker;git;aws;java;microservices,21-05-2025,Software Engineering,$90k-$120k,Mid
Software Engineer,Miller-Bailey,Crawfordfurt,docker;microservices;aws;kubernetes;git;spring;rest api;java,17-03-2025,Software Engineering,$90k-$120k,Mid
ML Engineer,Sanchez Ltd,Luceroview,computer vision;deep learning;pytorch;nlp;tensorflow;python,05-07-2025,Artificial Intelligence & Machine Learning,$130k-$160k,Senior
DevOps Engineer,Bradshaw LLC,Port Amy,linux;docker;ci/cd;jenkins;bash;python,10-06-2025,Cloud & DevOps,$110k-$140k,Senior
DevOps Engineer,Weaver-Gardner,Robertfort,jenkins;ci/cd;aws;docker;kubernetes;linux;terraform;python,19-05-2025,Cloud & DevOps,$110k-$140k,Senior
Senior Data Scientist,Castillo-Howell,South Stephen,numpy;python;tensorflow;statistics;machine learning;pandas,03-07-2025,Data Science & Analytics,$120k-$150k,Senior
DevOps Engineer,Rios Group,East George,docker;aws;jenkins;kubernetes;terraform;python;ci/cd;linux,18-06-2025,Cloud & DevOps,$110k-$140k,Senior
Senior Data Scientist,Robertson-Martinez,Loveside,statistics;python;tensorflow;pandas;numpy;scikit-learn;machine learning,27-06-2025,Data Science & Analytics,$120k-$150k,Senior
Software Engineer,Cruz-Brooks,Port Shelbymouth,spring;rest api;java;kubernetes;docker;microservices;aws,24-03-2025,Software Engineering,$90k-$120k,Mid
Business Analyst,Estrada and Sons,Kaylamouth,business analysis;tableau;jira;agile;power bi;requirements gathering;sql;excel,12-06-2025,Business Analysis,$70k-$95k,Mid
DevOps Engineer,"Brown, Cox and Jimenez",Amandaberg,jenkins;docker;bash;python;linux;aws,25-06-2025,Cloud & DevOps,$110k-$140k,Senior
Senior Data Scientist,Kim-Mcbride,Kennedymouth,statistics;scikit-learn;numpy;pandas;machine learning;python;tensorflow;sql,24-05-2025,Data Science & Analytics,$120k-$150k,Senior
DevOps Engineer,"Smith, Brooks and Gray",Christophermouth,docker;terraform;kubernetes;linux;jenkins;ci/cd;bash;aws,18-03-2025,Cloud & DevOps,$110k-$140k,Senior
Software Engineer,Knight-Carroll,Melissaville,kubernetes;git;spring;java;rest api;docker,18-05-2025,Software Engineering,$90k-$120k,Mid
Full Stack Developer,Lara-Gibson,Pennyview,css;git;javascript;html;node.js;mongodb;react;express;rest api,15-07-2025,Web Development,$85k-$110k,Mid
Full Stack Developer,Strickland Ltd,South Richardville,rest api;mongodb;css;node.js;javascript,12-07-2025,Web Development,$85k-$110k,Mid
Software Engineer,"Malone, Williams and Flores",Kevinburgh,kubernetes;rest api;java;spring;docker,25-03-2025,Software Engineering,$90k-$120k,Mid
DevOps Engineer,Williams LLC,East Patrickmouth,jenkins;kubernetes;ci/cd;terraform;linux;aws;docker;bash,22-04-2025,Cloud & DevOps,$110k-$140k,Senior
ML Engineer,Thomas-Frazier,Harrisberg,computer vision;python;tensorflow;pytorch;nlp;deep learning,23-05-2025,Artificial Intelligence & Machine Learning,$130k-$160k,Senior
DevOps Engineer,"Richardson, Zimmerman and Jones",Colemanshire,ci/cd;aws;terraform;bash;kubernetes;jenkins;docker;linux,23-04-2025,Cloud & DevOps,$110k-$140k,Senior
Cybersecurity Specialist,"Smith, Hansen and Ramirez",Gloverhaven,cryptography;network security;python;linux;penetration testing;wireshark;firewall,25-03-2025,Cyber Security,$105k-$135k,Senior
ML Engineer,Graves-Rodgers,West Shannon,keras;deep learning;computer vision;python;nlp;tensorflow;pytorch,23-05-2025,Artificial Intelligence & Machine Learning,$130k-$160k,Senior
Business Analyst,Humphrey Inc,Russoville,excel;sql;requirements gathering;jira;business analysis;tableau;power bi;agile,16-03-2025,Business Analysis,$70k-$95k,Mid
Senior Data Scientist,Johnson LLC,Christineside,sql;statistics;python;pandas;scikit-learn;machine learning;numpy;tensorflow,22-05-2025,Data Science & Analytics,$120k-$150k,Senior
Full Stack Developer,Carter Group,East Samuel,rest api;git;html;react;express;mongodb;css,17-06-2025,Web Development,$85k-$110k,Mid
Full Stack Developer,"Espinoza, Lee and Soto",New Alexanderton,node.js;react;express;html;rest api;css;javascript;git;mongodb,07-03-2025,Web Development,$85k-$110k,Mid
Full Stack Developer,Allen-Prince,Garciaville,node.js;git;css;html;express;rest api;mongodb;react,10-04-2025,Web Development,$85k-$110k,Mid
ML Engineer,"Carlson, Hernandez and Friedman",New John,computer vision;tensorflow;nlp;deep learning;python,21-04-2025,Artificial Intelligence & Machine Learning,$130k-$160k,Senior
Senior Data Scientist,"Cantrell, Nelson and Miller",Dwaynefurt,statistics;scikit-learn;pandas;tensorflow;sql;numpy;python,03-07-2025,Data Science & Analytics,$120k-$150k,Senior
Full Stack Developer,Reyes LLC,Thomasville,mongodb;react;rest api;html;javascript;express;css;node.js;git,18-02-2025,Web Development,$85k-$110k,Mid
Software Engineer,Gibson-Simmons,Davisborough,rest api;git;microservices;aws;docker,19-02-2025,Software Engineering,$90k-$120k,Mid
Senior Data Scientist,Francis-Dougherty,Jamesland,tensorflow;machine learning;scikit-learn;pandas;python;statistics;numpy,05-06-2025,Data Science & Analytics,$120k-$150k,Senior
DevOps Engineer,"Marshall, Randolph and Graham",Nicolebury,terraform;docker;ci/cd;aws;linux;python;jenkins,08-02-2025,Cloud & DevOps,$110k-$140k,Senior
ML Engineer,Russo Group,North Amandaview,python;pytorch;keras;computer vision;tensorflow,01-05-2025,Artificial Intelligence & Machine Learning,$130k-$160k,Senior
Business Analyst,"Carlson, Davis and Lee",South Danielle,agile;jira;business analysis;power bi;excel;sql,21-06-2025,Business Analysis,$70k-$95k,Mid
Senior Data Scientist,Schneider-Williams,New James,pandas;statistics;numpy;sql;scikit-learn;tensorflow;machine learning;python,31-05-2025,Data Science & Analytics,$120k-$150k,Senior
DevOps Engineer,"Mills, Wheeler and Campbell",South James,bash;jenkins;linux;ci/cd;docker,17-07-2025,Cloud & DevOps,$110k-$140k,Senior
Business Analyst,Martin Inc,Harrisonborough,jira;requirements gathering;agile;tableau;power bi;excel;sql,28-04-2025,Business Analysis,$70k-$95k,Mid
Cybersecurity Specialist,Juarez Group,North Kevin,network security;penetration testing;linux;firewall;python;wireshark,06-02-2025,Cyber Security,$105k-$135k,Senior
ML Engineer,"Gonzalez, Kennedy and Reyes",South Tiffanybury,keras;computer vision;deep learning;pytorch;python,13-03-2025,Artificial Intelligence & Machine Learning,$130k-$160k,Senior
Cybersecurity Specialist,Schmidt-Larson,Deleonstad,cryptography;wireshark;network security;linux;penetration testing;python;firewall,09-06-2025,Cyber Security,$105k-$135k,Senior
DevOps Engineer,Schultz-Salas,Lake Joseph,jenkins;kubernetes;linux;aws;python;bash,14-04-2025,Cloud & DevOps,$110k-$140k,Senior
Senior Data Scientist,Irwin-Harris,New Sharonbury,machine learning;python;statistics;scikit-learn;pandas;tensorflow;numpy,02-07-2025,Data Science & Analytics,$120k-$150k,Senior
Cybersecurity Specialist,Chapman-Perez,Baileyberg,firewall;python;wireshark;cryptography;network security;penetration testing;linux,21-05-2025,Cyber Security,$105k-$135k,Senior
DevOps Engineer,"Anderson, Turner and Carter",West Briannaland,docker;bash;aws;ci/cd;linux;terraform;kubernetes,03-05-2025,Cloud & DevOps,$110k-$140k,Senior
Senior Data Scientist,Gonzales-Hensley,Evanside,python;machine learning;numpy;statistics;pandas;sql;tensorflow;scikit-learn,22-02-2025,Data Science & Analytics,$120k-$150k,Senior
ML Engineer,Aguirre-Carey,South Masonland,computer vision;tensorflow;deep learning;python;pytorch,14-03-2025,Artificial Intelligence & Machine Learning,$130k-$160k,Senior
ML Engineer,"Haney, Wright and Allen",Reginaldberg,tensorflow;computer vision;python;deep learning;pytorch;keras;nlp,06-07-2025,Artificial Intelligence & Machine Learning,$130k-$160k,Senior
Software Engineer,"Campbell, Boyer and Hernandez",Justinborough,java;microservices;docker;rest api;kubernetes,05-06-2025,Software Engineering,$90k-$120k,Mid
Full Stack Developer,"Rasmussen, Sanchez and Medina",New Staceyshire,rest api;git;node.js;mongodb;css;html,07-03-2025,Web Development,$85k-$110k,Mid
DevOps Engineer,"Holland, Mata and Rodriguez",Welchport,python;docker;ci/cd;terraform;jenkins;linux,25-05-2025,Cloud & DevOps,$110k-$140k,Senior
Senior Data Scientist,Hernandez-Maynard,East Cassandra,pandas;statistics;tensorflow;sql;machine learning;python;numpy,18-03-2025,Data Science & Analytics,$120k-$150k,Senior
DevOps Engineer,Blackburn-Brown,New Thomas,aws;python;kubernetes;docker;ci/cd;terraform;jenkins,16-02-2025,Cloud & DevOps,$110k-$140k,Senior
Software Engineer,Elliott-Carlson,East Emily,java;git;microservices;spring;kubernetes,13-03-2025,Software Engineering,$90k-$120k,Mid
Software Engineer,Joseph-Black,Derekmouth,docker;kubernetes;spring;aws;microservices,28-06-2025,Software Engineering,$90k-$120k,Mid
Cybersecurity Specialist,"Smith, Newman and Larson",Miguelmouth,network security;firewall;penetration testing;python;wireshark;linux;cryptography,07-07-2025,Cyber Security,$105k-$135k,Senior
DevOps Engineer,"Ochoa, Holloway and Coleman",Jeffersonchester,kubernetes;aws;ci/cd;docker;jenkins,14-05-2025,Cloud & DevOps,$110k-$140k,Senior
Senior Data Scientist,"French, Rangel and Simmons",Matthewbury,numpy;python;sql;pandas;tensorflow;machine learning,19-07-2025,Data Science & Analytics,$120k-$150k,Senior
Business Analyst,Barron Ltd,South Lisa,requirements gathering;jira;power bi;sql;agile;tableau;business analysis;excel,17-02-2025,Business Analysis,$70k-$95k,Mid
Full Stack Developer,"Johnson, Crawford and Huff",Elizabethborough,git;javascript;express;html;mongodb;css;node.js,08-07-2025,Web Development,$85k-$110k,Mid
Business Analyst,"Rivera, Adams and Campbell",New Jonathanmouth,excel;sql;tableau;jira;business analysis;power bi;requirements gathering;agile,26-02-2025,Business Analysis,$70k-$95k,Mid
DevOps Engineer,James-Gardner,Parkerbury,ci/cd;linux;terraform;jenkins;bash;kubernetes;docker;python;aws,06-02-2025,Cloud & DevOps,$110k-$140k,Senior
Senior Data Scientist,Cox PLC,Port Crystal,tensorflow;pandas;sql;statistics;machine learning;scikit-learn,24-04-2025,Data Science & Analytics,$120k-$150k,Senior
Business Analyst,"Williams, Abbott and Day",Randallview,requirements gathering;agile;tableau;business analysis;jira,26-06-2025,Business Analysis,$70k-$95k,Mid
DevOps Engineer,Owens PLC,West Kathryn,docker;ci/cd;python;aws;linux;terraform;jenkins;bash,02-07-2025,Cloud & DevOps,$110k-$140k,Senior
Full Stack Developer,Rowe and Sons,West Christopher,express;mongodb;git;javascript;html,06-05-2025,Web Development,$85k-$110k,Mid
Cybersecurity Specialist,Shepherd-Garza,Bauerborough,cryptography;linux;network security;firewall;wireshark;penetration testing;python,09-07-2025,Cyber Security,$105k-$135k,Senior
Full Stack Developer,"Shaw, Duran and Jensen",West Barbarafort,html;node.js;mongodb;express;react;javascript;css;git;rest api,25-05-2025,Web Development,$85k-$110k,Mid
Full Stack Developer,Frazier PLC,East Cynthia,rest api;javascript;css;mongodb;node.js;git,19-06-2025,Web Development,$85k-$110k,Mid
ML Engineer,Jennings Group,Port Joannborough,keras;pytorch;computer vision;nlp;python;deep learning;tensorflow,13-03-2025,Artificial Intelligence & Machine Learning,$130k-$160k,Senior
DevOps Engineer,"Thompson, Salas and Davis",Wrightmouth,docker;kubernetes;linux;python;aws;jenkins;bash;terraform,30-04-2025,Cloud & DevOps,$110k-$140k,Senior
Business Analyst,Porter-Thompson,North Randyburgh,requirements gathering;excel;tableau;business analysis;jira;agile;sql;power bi,26-06-2025,Business Analysis,$70k-$95k,Mid
Software Engineer,Pearson PLC,Port Jenniferside,spring;microservices;docker;aws;kubernetes,02-03-2025,Software Engineering,$90k-$120k,Mid
Business Analyst,Phillips-Hicks,Jamiechester,jira;excel;business analysis;sql;tableau;power bi;requirements gathering;agile,12-02-2025,Business Analysis,$70k-$95k,Mid
DevOps Engineer,Woods PLC,West Robert,bash;jenkins;aws;docker;terraform;python;ci/cd;kubernetes;linux,11-06-2025,Cloud & DevOps,$110k-$140k,Senior
Cybersecurity Specialist,Stewart-Valenzuela,Williamborough,cryptography;firewall;wireshark;python;network security,03-08-2025,Cyber Security,$105k-$135k,Senior
Business Analyst,Fernandez-Gutierrez,Silvaville,tableau;excel;agile;jira;power bi;business analysis;requirements gathering;sql,25-04-2025,Business Analysis,$70k-$95k,Mid
Cybersecurity Specialist,"Spencer, Smith and Perez",North Rodney,network security;linux;cryptography;wireshark;python;penetration testing;firewall,11-03-2025,Cyber Security,$105k-$135k,Senior
Business Analyst,"Gibson, Smith and Peters",Jessicachester,jira;sql;agile;power bi;tableau;business analysis;excel;requirements gathering,13-07-2025,Business Analysis,$70k-$95k,Mid
Business Analyst,Gray LLC,Carterland,agile;business analysis;jira;power bi;sql,25-04-2025,Business Analysis,$70k-$95k,Mid
Cybersecurity Specialist,Young-Alvarez,Lake Erik,wireshark;firewall;penetration testing;cryptography;network security;linux,27-03-2025,Cyber Security,$105k-$135k,Senior
DevOps Engineer,"Duffy, Hunter and Jones",Oliverville,ci/cd;terraform;python;kubernetes;linux,20-02-2025,Cloud & DevOps,$110k-$140k,Senior
Cybersecurity Specialist,Gibson-Alvarez,Michelletown,penetration testing;network security;cryptography;firewall;wireshark,21-06-2025,Cyber Security,$105k-$135k,Senior
Full Stack Developer,Edwards Ltd,Brownville,react;node.js;rest api;mongodb;html;css,13-03-2025,Web Development,$85k-$110k,Mid
Cybersecurity Specialist,Davis and Sons,South Mariaside,linux;wireshark;python;firewall;cryptography;penetration testing;network security,14-04-2025,Cyber Security,$105k-$135k,Senior
Senior Data Scientist,Brooks-Brooks,East Jeanberg,statistics;scikit-learn;machine learning;tensorflow;python;sql;pandas;numpy,08-04-2025,Data Science & Analytics,$120k-$150k,Senior
Business Analyst,Cochran-Maxwell,Taraberg,sql;tableau;power bi;business analysis;jira,28-02-2025,Business Analysis,$70k-$95k,Mid
Full Stack Developer,Huynh-Fields,New Keithmouth,rest api;git;css;express;javascript;html;node.js;mongodb;react,03-03-2025,Web Development,$85k-$110k,Mid
Business Analyst,"Miller, Wong and Carlson",New Larry,sql;agile;business analysis;tableau;requirements gathering;jira,20-02-2025,Business Analysis,$70k-$95k,Mid
Software Engineer,"Wilson, Herrera and Freeman",East Lisa,docker;aws;rest api;git;spring,03-05-2025,Software Engineering,$90k-$120k,Mid
ML Engineer,"Rowe, Gonzalez and Edwards",North Omarchester,deep learning;keras;pytorch;python;nlp;tensorflow,19-07-2025,Artificial Intelligence & Machine Learning,$130k-$160k,Senior
ML Engineer,"King, Morton and Peterson",Justinshire,nlp;computer vision;deep learning;pytorch;tensorflow,17-02-2025,Artificial Intelligence & Machine Learning,$130k-$160k,Senior
Full Stack Developer,Greer-Burns,Suzanneport,mongodb;react;css;express;git;node.js,17-05-2025,Web Development,$85k-$110k,Mid
DevOps Engineer,"Flores, Kim and Lewis",North Lindseystad,kubernetes;docker;ci/cd;jenkins;terraform;python;aws;linux,20-02-2025,Cloud & DevOps,$110k-$140k,Senior
